2019-12-18 18:51:23-@_@-127.0.0.1-@_@-/Lesson%201/3/index3.php-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 18:53:08-@_@-127.0.0.1-@_@-/Lesson%201/3/index3.php-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 18:54:25-@_@-127.0.0.1-@_@-/Lesson%201/3/index3.php-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 19:14:55-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:32:09-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:33:41-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:34:11-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:35:14-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:35:22-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:35:49-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:36:11-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:36:38-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:36:45-@_@-127.0.0.1-@_@-/Lesson%201/3/index.php-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:36:50-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:36:51-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:37:26-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:37:33-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:37:34-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:37:35-@_@-127.0.0.1-@_@-/Lesson%201/3/-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:39:00-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:40:06-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
2019-12-18 21:47:58-@_@-127.0.0.1-@_@-/Lesson%201/3-@_@-Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0
